id,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
46,BISOPROLOL FUMARATO 1.25 MG TABLETAS RECUBIERTAS,GENFAR S.A.,INVIMA 2016M-0017511,12/16/2016,01/25/2022,Vigente,20103365,7,30,CAJA POR 30 TABLETAS RECUBIERTAS EN BLÍSTER PVC / PVDC TRANSPARENTE / ALUMINIO POR 10 TABLETAS RECUBIERTAS CADA UNO.,Activo,09/07/2016,N/A,No,U,C07AB07,BISOPROLOL,ORAL,A,BISOPROLOL FUMARATO,mg,1.25,CADA TABLETA RECUBIERTA CONTIENE:,TABLETA RECUBIERTA,FAREVA VILLA RICA S.A.S.,FABRICANTE,FABRICAR Y VENDER
47,FERBIN ® C.L. 250 MG CAPSULA,NOVAMED S.A.,INVIMA 2016M-0011592-R1,11/19/2010,09/07/2021,Vigente,20016549,7,1,FERBIN C.L.: CAJA POR 1 CAPSULA EN SISTEMA BLISTER PACK FOIL ALUMINIO/ STARFLEX,Inactivo,08/31/2010,08/04/2016,No,U,N03AG01,VALPROICO ACIDO,ORAL,A,ACIDO VALPROICO,mg,250,CAPSULA DURA CON CONTENIDO LIQUIDO,CAPSULA DURA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
48,PREGABALINA CAPSULAS 150 MG,LABORATORIOS ECAR S.A,INVIMA 2017M-0017640,03/17/2017,04/17/2022,Vigente,20091819,23,980,CAJA POR 980 CAPSULAS EN BLISTER PVC TRANSPARENTE / ALUMINIO POR 7 CAPSULAS CADA UNO,Activo,03/13/2017,N/A,No,U,N03AX16,PREGABALINA,ORAL,A,PREGABALINA,mg,150,CAPSULAS,CAPSULA DURA,LABORATORIOS ECAR S.A.,FABRICANTE,FABRICAR Y VENDER
49,SUPREFLUX® FORTE SUSPENSION,NOVAMED S.A.,INVIMA 2016M-0017169,07/12/2016,07/27/2021,Vigente,20103613,20,2,USO INSTITUCIONAL: CAJA POR 2 SACHET DE POLIESTER TRANSPARTENTE/ POLIESTER METALIZADO CON COEXTRUIDO ESPECIAL POR 10 ML CADA UNO,Activo,05/09/2017,N/A,No,U,A02BX13,ACIDO ALGINICO,ORAL,B,BICARBONATO DE SODIO,g,2.13,CADA 100 ML,SUSPENSION ORAL,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
50,CEPECTIN ®,PROCAPS S.A.,INVIMA 2018M-0018137,04/12/2018,04/27/2023,Vigente,20116817,5,120,CAJA POR 120. TABLETAS RECUBIERTAS EN BLÍSTER TRANSPARENTE PDVC/ALUMINIO POR 10 TABLETAS RECUBIERTAS C/U.,Activo,09/21/2017,N/A,No,U,L01BC06,CAPECITABINA,ORAL,A,CAPECITABINA,mg,500,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PROCAPS S.A.,IMPORTADOR,IMPORTAR Y VENDER
51,ATORVASTATINA 10 MG,MOMENTA FARMACEUTICA S.A.S,INVIMA 2015M-0016158,08/14/2015,09/10/2020,Vigente,20082934,1,10,CAJA PLEGADIZA POR 10 TABLETAS RECUBIERTAS EN BLISTER ALU/ALU,Activo,03/19/2015,N/A,No,U,C10AA05,ATORVASTATIN,ORAL,A,ATORVASTATINA CALCICA EQUIVALENTE A ATORVASTATINA BASE,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,MOMENTA FARMACEUTICA S.A.S,IMPORTADOR,IMPORTAR Y VENDER
52,NEURACT ®,PROCAPS S.A.,INVIMA 2016M-0017131,06/24/2016,07/12/2021,Vigente,20104405,2,2,MUESTRA MEDICA: CAJA PLEGADIZA POR 2 PARCHES TRANSDERMICOS DE 10 CM2 EN SACHETS DE PAPEL /TEREFTALATO DE POLIETILENO (PET) / POLIACRILONITRILO (PAN),Activo,06/15/2016,N/A,Si,U,N06DA03,RIVASTIGMINA,TRANSDERMAL,A,RIVASTIGMINA CON UNA LIBERACION NOMINAL DE 9.5 MG /24 HORAS,mg,18,PARCHE TRANSDERMICO,TRANSDERMICOS,SK CHEMICALS CO LTD. CHENONGJU PLANT,FABRICANTE,IMPORTAR Y VENDER
53,AIRE MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2018M-0008760-R1,11/25/2008,12/18/2023,Vigente,19989258,4,2,CILINDRO DE ACERO POR 2.0 METROS CUBICOS.,Activo,08/04/2008,N/A,No,m3,V03AN01,OXIGENO,INHALACION,F,MEZCLA NATURAL QUE CONTIENE OXIGENO,%,21,100 G.,GAS,MESSER COLOMBIA S.A.,FABRICANTE,FABRICAR Y VENDER
54,CRONOFEN® L 150 MG / 5 ML JARABE,NOVAMED S.A.,INVIMA 2017M-0013349-R1,07/13/2012,06/27/2022,Vigente,20042059,5,1,CON NOMBRE CRONOFEN L: INSTITUCIONAL PROHIBIDA SU VENTA: FRASCO PEAD TRANSPARENTE Ó FRASCO PET TRANSPARENTE POR 100 ML,Activo,03/07/2012,N/A,No,U,N02BE01,PARACETAMOL,ORAL,B,ACETAMINOFEN,g,3,100 ML DE JARABE,JARABE,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
55,EXTRANEAL,LABORATORIOS BAXTER S.A.,INVIMA 2018M-0005820-R1,05/30/2006,02/08/2023,Vigente,19963605,2,2,BOLSA VIAFLEX PL-146 DE 2 LITROS DE SOLUCIÓN,Activo,10/26/2019,N/A,No,l,B05DA92,ICODEXTRINA CON ELECTROLITOS,INTRAPERITONEAL,B,CLORURO DE CALCIO DIHIDRATADO,g,0.0257,N/A,SOLUCION ESTERIL PARA DIÁLISIS PERITONEAL,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER
56,VERUM® 24 MG TABLETAS,GRUNENTHAL GMBH,INVIMA 2016M-0011259-R1,08/27/2010,05/05/2021,Vigente,20015468,4,20,MUESTRA MEDICA: CAJA CON 20 TABLETAS EN BLISTER INDIVIDUALES ( PVC/LDPE/PVDC TRANSPARENTE/ALUMINIO) POR 10 TABLETAS,Activo,04/27/2010,N/A,Si,U,N07CA01,BETAHISTINA,ORAL,A,BETAHISTINA DICLORHIDRATO,mg,24,TABLETA,TABLETA,GRUNENTHAL COLOMBIANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
57,ENOXAPARINA SODICA JERINGAS PRELLENADAS 80 MG/0.8 ML,PHARMA LAW COLOMBIA S.A.S,INVIMA 2015M-0016141,08/10/2015,09/07/2020,Vigente,20084690,20,5,USO INSTITUCIONAL: CAJA PLEGADIZA POR 5 JERINGAS PRELLENADAS DE 0.8 ML,Activo,07/17/2015,N/A,No,U,B01AB05,ENOXAPARINA,SUBCUTANEA,A,ENOXOPARINA SODICA 80 MG/0.8 ML,mg,80,JERINGA PRELLENADA,SOLUCION INYECTABLE,PHARMA LAW COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER
58,TAFIROL® TABLETA RECUBIERTA,GENOMMA LAB COLOMBIA LTDA.,INVIMA 2016M-0017335,09/15/2016,11/04/2021,Vigente,20100537,1,10,CAJA X 10 TABLETAS EN BLISTER PVC/ ALUMINIO X 10 TABLETAS BLISTER,Activo,04/12/2016,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,IBUPROFENO,mg,400,TABLETA RECUBIERTA,TABLETA RECUBIERTA,COASPHARMA S.A.S. PLANTA PALOQUEMAO,FABRICANTE,FABRICAR Y VENDER
59,ULDIN 150 MG. TABLETAS RECUBIERTAS,COOPERATIVA NACIONAL DE DROGUISTAS DETALLISTAS - COOPIDROGAS,INVIMA 2016M-0004183-R1,02/22/2005,07/28/2021,Vigente,19947780,1,10,CAJA POR 10 TABLETAS RECUBIERTAS CON BLISTER ALU/ALU POR 10 TABLETAS CADA UNO.,Activo,11/10/2006,N/A,No,U,A02BA02,RANITIDINA,ORAL,A,RANITIDINA CLORHIDRATO EQUIVALENTE A 150 MG DE RANITIDINA BASE,mg,167.4,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
60,TAFLAX 300 MG TABLETAS RECUBIERTAS,CLOSTER PHARMA S.A.S.,INVIMA 2018M-0012839-R1,02/06/2012,03/07/2024,Vigente,20031165,36,50,CAJA POR 50 TABLETAS EN BLISTER,Inactivo,07/10/2012,12/03/2018,No,U,M01AE14,DEXIBUPROFENO,ORAL,A,DEXIBUPROFENO,mg,300,TABLETA RECUBIERTA,TABLETA RECUBIERTA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
61,CEXGRAM -T,ALDRISTON FARMACEUTICA DE COLOMBIA LTDA,INVIMA 2018M-0018635,12/13/2018,05/03/2024,Vigente,20131388,3,100,CAJA POR 100 CAPSULAS. BLÍSTER PVC INCOLORO/ALUMINIO,Activo,04/30/2018,N/A,No,U,J01DB01,CEFALEXINA,ORAL,A,CEFALEXINA,mg,500,CAPSULAS,CAPSULA DURA,SERVICIO TECNICO GONHER FARMACEUTICA LTDA.,FABRICANTE,FABRICAR Y VENDER
62,ZEBESTEN®,LABORATORIOS SOPHIA S.A. DE C.V.,INVIMA 2017M-0017836,09/05/2017,09/22/2022,Vigente,20108768,3,1,MUESTRA MEDICA: CAJA CON FRASCO GOTERO EN PEBD POR 1 ML,Activo,03/08/2017,N/A,Si,U,S01BC11,BROMFENAC,CONJUNTIVAL,C,BROMFENACO SODICO (SESQUIHIDRATADO) 0.962 MG EQUIVALENTE A BROMFENACO,mg,0.9,ML DE SOLUCION OFTALMICA,SOLUCION OFTALMICA,LABORATORIOS SOPHIA S.A. DE C.V.,FABRICANTE,IMPORTAR Y VENDER
63,FEXOFENADINA 120 MG,LABORATORIOS MK S.A.S.,INVIMA 2015M-0016157,08/14/2015,09/22/2020,Vigente,20082502,22,60,CAJA PLEGADIZA POR 60 TABLETAS EN BLISTER PVC/PVDC- ALUMINIO POR 10 TABLETAS,Activo,04/15/2015,N/A,No,U,R06AX26,FEXOFENADINA,ORAL,A,FEXOFENADINA CLORHIDRATO,mg,120,TABLETA CUBIERTA,TABLETA RECUBIERTA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
64,NADOREX® TABLETAS,LABORATORIOS BEST S.A.,INVIMA 2019M-0008897-R1,12/05/2008,04/24/2024,Vigente,19977458,6,100,CAJA X 100 TABLETAS EN BLISTER PVC/ALUMINIO,Activo,08/14/2007,N/A,No,U,N02BE01,PARACETAMOL,ORAL,A,ACETAMINOFEN COMPRESION DIRECTA 90% (EQUIVALENTE A ACETAMINOFEN,mg,500,TABLETA,TABLETA,CLARIPACK S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
65,HEBAL® UNGUENTO,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2019M-0018741,02/01/2019,02/19/2024,Vigente,20146833,1,1,CAJA X 1 TUBO COLAPSIBLE X 10 G PLASTICO LAMINADO METALICO MAS 4 CANULAS PEBD,Inactivo,08/14/2018,01/31/2019,No,U,C05AA01,HIDROCORTISONA,RECTAL,D,BENZOCAINA,g,2,100 G UNGÜENTO,UNGUENTO PROCTOLOGICO,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
66,ZINKIDS ® CAPSULA BLANDA,TECNOQUIMICAS S.A.,INVIMA 2017M-0017957,12/18/2017,02/01/2023,Vigente,20107367,30,70,CAJA PLEGADIZA POR 70 CÁPSULAS BLANDAS COLOR ROJO-FUCSIA EN BLÍSTER PVC/PVDC-ALUMINIO POR 14 CÁPSULAS CADA BLÍSTER,Activo,01/31/2017,N/A,No,U,A12CB01,ZINC SULFATO,ORAL,A,SULFATO DE ZINC MONOHIDRATADO 56 MG EQUIVALENTE A ZINC ELEMENTAL,mg,20,CÁPSULA BLANDA,CAPSULA BLANDA,TECNOQUIMICAS S.A. (PLANTA JAMUNDÍ),FABRICANTE,FABRICAR Y VENDER
67,LAXIUM 5 MG TABLETAS CON RECUBRIMIENTO ENTERICO,LABORATORIO INTERNACIONAL DE COLOMBIA S.A.S - LABINCO S.A.S,INVIMA 2015M-0004447-R1,05/17/2005,11/23/2020,Vigente,19948326,3,50,CAJA POR 50 TABLETAS CON RECUBRIMIENTO ENTERICO EN BLISTER PVC TRANSPARENTE / ALUMINIO.,Activo,11/10/2006,N/A,No,U,A06AB02,BISACODIL,ORAL,A,BISACODILO,mg,5,TABLETA CON RECUBRIMIENTO ENTERICO,TABLETA DE LIBERACION RETARDADA,LABORATORIO INTERNACIONAL DE COLOMBIA S.A.S - LABINCO S.A.S,FABRICANTE,FABRICAR Y VENDER
68,DECADRON 8 MG/2 ML INYECTABLE,TECNOQUIMICAS S.A.,INVIMA 2015 M-002916-R4,11/17/2000,01/27/2021,Vigente,36070,17,100,PRESENTACIÓN INSTITUCIONAL: CAJA POR 100 AMPOLLAS DE VIDRIO INCOLORO TRANSPARENTE TIPO I. POR 2 ML,Activo,07/01/2010,N/A,No,U,H02AB02,DEXAMETASONA,INTRAVENOSA,A,DEXAMETASONA SODICA FOSFATO. EQUIVALENTE A DEXAMETASONA FOSFATO,mg,8,AMPOLLA POR 2 ML,SOLUCION INYECTABLE,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
69,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2016M-0017107,06/20/2016,07/05/2021,Vigente,20104517,17,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ACERO CON CAPACIDAD DE 2.5M3,Activo,06/16/2016,N/A,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENO V/V,%,99,CILINDRO,GAS,INVERSIONES LEAL Y OXIGENOS S.A.S. OXI 50,FABRICANTE,FABRICAR Y VENDER
70,BABYTYOL,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2016M-000866-R2,05/22/1995,02/09/2021,Vigente,49215,13,120,CAJA CON POTE EN POLIESTIRENO MAS PP CON TAPA EN PP POR 120 G.,Activo,11/10/2006,N/A,No,g,C05AX04,ZINC PREPARACIONES,TOPICA (EXTERNA),D,ICTAMOL (ICTIOL),g,1,100 G,POMADA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
71,ACIVIROL ® 5% UNGÜENTO.,PATMAR S.A.,INVIMA 2016M-0011781-R1,01/21/2011,09/26/2021,Vigente,20019543,2,1,MUESTRA MEDICA: CAJA PLEGADIZA CON TUBO LAMINADO POR 15 G,Activo,06/10/2011,N/A,Si,U,D06BB03,ACICLOVIR,TOPICA (EXTERNA),D,ACICLOVIR,g,5,100 G DE UNGUENTO,UNGUENTO TOPICO,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
72,META CLOR ANTISÉPTICO,LABORATORIOS REMO S.A.S,INVIMA 2017M-0012303-R1,06/22/2011,01/02/2023,Vigente,20025101,2,60,FRASCO POR 60ML,Inactivo,11/17/2010,12/04/2017,No,ml,D08AC02,CLORHEXIDINA,TOPICA (EXTERNA),B,CADA 2.5 G DE SOLUCION AL 20 % DE CLORHEXIDINA DIGLUCONATO EQUIVALEN A,g,0.5,CADA 100ML DE SOLUCIÓN.,SOLUCION TOPICA,LABORATORIOS REMO S.A.S,FABRICANTE,FABRICAR Y VENDER
73,MIRTAZAPINA 30 MG,TECNOQUIMICAS S.A.,INVIMA 2015M-0015843,04/29/2015,05/20/2020,Vigente,20084050,21,20,CAJA POR 20 TABLETAS ORODISPERSABLES EN BLISTER ALU/ALU POR 10 TABLETAS ORODISPERSABLES CADA UNO.,Activo,04/13/2015,N/A,No,U,N06AX11,MIRTAZAPINA,ORAL,A,MIRTAZAPINA,mg,30,TABLETAS ORODISPERSABLES,TABLETA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
74,ACETAMINOFEN 325 MG + CODEINA FOSFATO 30 MG TABLETAS,C.I. FARMACAPSULAS S.A.,INVIMA 2020M-0013312-R1,06/27/2012,03/18/2025,Vigente,20038519,6,100,CAJA POR 100 TABLETAS EN BLÍSTER DE PVC TRANSPARENTE / FOIL DE ALUMINIO 10 BLÍSTER POR 10 TABLETAS,Activo,12/07/2011,N/A,No,U,N02AJ06,CODEINA Y PARACETAMOL,ORAL,A,ACETAMINOFEN DC 90 361.11MG EQUIVALENTE A ACETAMINOFEN,mg,325,TABLETA,TABLETA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
75,FUROSEMIDA 40 MG,TECNOQUIMICAS S.A.,INVIMA 2016M-007577-R3,06/29/1995,03/08/2021,Vigente,23947,4,300,CAJA PLEGADIZA POR 300 TABLETAS EN BLISTER PVC / ALUMINIO POR 30 TABLETAS EN SU PRESENTACION USO INSTITUCIONAL.,Inactivo,07/16/2015,02/08/2016,No,U,C03CA01,FUROSEMIDA,ORAL,A,FUROSEMIDA,mg,40,TABLETA,TABLETA,TECNOQUIMICAS S.A. PLANTA JAMUNDI,FABRICANTE,FABRICAR Y VENDER
76,TOBRAGAN® D SUSPENSION OFTALMICA,ALLERGAN INC.,INVIMA 2019M-0002783-R2,09/23/2003,11/01/2024,Vigente,19937041,1,2.5,CAJA FRASCO PLASTICO DE POLIETILENO DE BAJA DENSIDAD BLANCO TRANSLUCIDO POR 2. 5 ML,Inactivo,11/10/2006,09/22/2014,No,ml,S01AA20,ANTIBIOTICOS EN COMBINACION CON OTROS F RMACOS,OFTÁLMICA,C,TOBRAMICINA,mg,3,1 ML DE SUSPENSIÓN OFTALMICA,SUSPENSION OFTALMICA,ALLERGAN DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
77,DUODART® CAPSULAS,GLAXOSMITHKLINE COLOMBIA S.A.,INVIMA 2016M-0011533-R1,11/11/2010,03/15/2021,Vigente,20020466,7,30,CAJA DE CARTÓN POR 30 CÁPSULAS DURAS EN FRASCOS DE POLIETILENO DE ALTA DENSIDAD (HDPE) DE COLOR BLANCO OPACO CON CIERRES DE POLIPROPILENO A PRUEBA DE NI?OS. CON FORROS DE SELLADO POR INDUCCIÓN DE 100ML.,Activo,08/12/2016,N/A,No,U,G04CA52,TAMSULOSINA Y DUTASTERIDA,ORAL,A,DUTASTERIDA,mg,0.5,CAPSULA DURA,CAPSULA DURA,GLAXOSMITHKLINE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
78,CARVEDILOL 25 MG,LABORATORIOS MK S.A.S.,INVIMA 2017M-0017723,06/02/2017,06/27/2022,Vigente,20105963,41,90,INSTITUCIONAL: CAJA PLEGADIZA POR 90 TABLETAS EN BLÍSTER ALU/ALU POR 30 TABLETAS CADA UNO.,Activo,05/31/2017,N/A,No,U,C07AG02,CARVEDILOL,ORAL,A,CARVEDILOL,mg,25,TABLETA,TABLETA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
79,CAPD/DPCA 3 SOLUCION ESTERIL PARA DIALISIS PERITONEAL,FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH,INVIMA 2019M-0001134-R2,02/28/2002,12/06/2024,Vigente,19927201,11,1,BOLSA BIOFINE (POLIOLEFINA) EN BOLSA DE POLIETILENO POR 2000 ML,Activo,10/24/2019,N/A,No,U,B05DB99,SOLUCION HIPERTONICA PARA DIALISIS PERITONEAL,INTRAPERITONEAL,C,CLORURO DE MAGNESIO HEXAHIDRATO,g,0.0001,N/A,SOLUCION ESTERIL PARA DIÁLISIS PERITONEAL,FRESENIUS MEDICAL CARE ANDINA S.A.S,FABRICANTE,FABRICAR Y VENDER
80,KEPPRA ® TABLETAS 1000 MG,GLAXOSMITHKLINE TRADING SERVICES LIMITED,INVIMA 2019M-0002929-R2,11/28/2003,07/29/2024,Vigente,19936411,6,20,MUESTRA MEDICA: EN CAJA X 20 TABLETAS RECUBIERTAS EN BLISTER DE ALUMINIO/PVC.,Activo,05/12/2011,N/A,Si,U,N03AX14,LEVETIRACETAM,ORAL,A,LEVETIRACETAM,mg,"1,000",TABLETA RECUBIERTA,TABLETA RECUBIERTA,GLAXOSMITHKLINE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
81,FLEMOXIN ® GOTAS,NOVAMED S.A.,INVIMA 2019M-0018872,03/18/2019,04/04/2024,Vigente,20138038,3,1,IUM 1C1021051000101.CAJA CON FRASCO DE PEBD.CON SUBTAPA Y TAPA ROSCA EN POLIPROPILENO.CON 30 ML DE SUSPENSION,Activo,03/05/2019,N/A,No,U,R05CB03,CARBOCISTEINA,ORAL,B,CARBOCISTEINA,g,5,100 ML. SUSPENSION ORAL,SUSPENSION ORAL,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
82,TREBAC® TABLETAS RECUBIERTAS,LABORATORIOS CHALVER DE COLOMBIA S.A.,INVIMA 2020M-0019651,03/31/2020,04/22/2025,Vigente,20155413,1,2,2F1001201003100 BLISTER PVC/PVDC INCOLORO MÁS ALUMINIO POR 2 TABLETAS EN TARJETÓN EN CAJA PLEGADIZA,Activo,03/29/2019,N/A,No,U,P01AB52,SECNIDAZOL. COMBINACIONES,ORAL,A,SECNIDAZOL,mg,"1,000",TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIOS CHALVER DE COLOMBIA S.A.,FABRICANTE,FABRICAR Y VENDER
83,VONCENTO 500 UI/1200UI,CSL BEHRING GMBH,INVIMA 2018M-0018228,06/07/2018,06/22/2023,Vigente,20114160,1,1,2F1005751000100.CAJA PLEGADIZA CON UN VIAL DE VIDRIO TIPO I. CON TAPÓN DE CAUCHO (BUTILO) CON TAPA FLIP OFF Y CIERRE DE ALUMINIO CON POLVO LIOFILIZADO + UN VIAL DE VIDRIO TIPO I CON TAPÓN DE CAUCHO (BUTILO). TAPA FLIP OFF Y CIERRE DE ALUMINIO CON DISOLVENTE,Activo,02/23/2017,N/A,No,U,B02BD06,VON WILLEBRAND FACTOR Y COAGULACION FACTOR VIII EN COMBINACION,INTRAVENOSA,A,FACTOR VIII,UI,500,VIAL POR 5ML,POLVO LIOFILIZADO,BIOTOSCANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
84,DIPIRONA 2.5 G + HIOSCINA 20 MG/5 ML SOLUCION INYECTABLE,LABORATORIO BIOSANO S.A.,INVIMA 2016M-0004837-R1,10/06/2005,02/25/2021,Vigente,19959402,3,10,CAJA CON 10 AMPOLLAS DE VIDRIO BOROSILICATO TIPO I ÁMBAR POR 5 ML CADA UNA. DENTRO O NO DE UN BLÍSTER DE PAPEL/PVC,Activo,11/10/2006,N/A,No,U,A03DB04,BUTILESCOPOLAMINA Y ANALGESICOS,INTRAVENOSA,A,METAMIZOL SÓDICO MONOHIDRATO,g,2.5,AMPOLLA DE 5 ML,SOLUCION INYECTABLE,LABORATORIO BIOSANO S.A.,FABRICANTE,IMPORTAR Y VENDER
85,ESOPRAX ® 40 CAPSULAS,LABORATORIOS LEGRAND S.A.,INVIMA 2019M-0002765-R2,09/17/2003,01/29/2025,Vigente,19940076,92,2,MUESTRA MEDICA GENÉRICO: CAJA POR 2 CAPSULAS EN BLÍSTER PVC/PVDC-ALUMINIO EN BOLSA SACHET.,Activo,09/15/2017,N/A,Si,U,A02BC05,ESOMEPRAZOL,ORAL,A,ESOMEPRAZOL MAGNÉSICO TRIHIDRATO MICROGRÁNULOS AL 22.5% EQUIVALENTE A ESOMEPRAZOL,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS LEGRAND S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
86,SEVEDOL ®,LAFRANCOL INTERNACIONAL S.A.S.,INVIMA 2017M-015027-R2,01/01/1999,06/22/2022,Vigente,19914092,19,72,CAJA POR 72 TABLETAS EN BLÍSTER ALU/ALU MAS PAPEL ALUMINIO POR 6 TABLETAS,Activo,10/23/2017,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN COMPRESION DIRECTA 90% 277.78 MG EQUIVALENTE A ACETAMINOFEN,mg,250,TABLETA,TABLETA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
87,MOVIPREN® ULTRA TABLETAS RECUBIERTAS,LABORATORIOS BUSSIÉ S.A.,INVIMA 2015M-0016464,10/26/2015,11/13/2020,Vigente,20086885,1,10,CAJA X 10 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO,Activo,05/20/2015,N/A,No,U,M03BX05,TIOCOLCHICOSIDA,ORAL,A,IBUPROFENO COMPRESION DIRECTA 66% (909.09 MG EQUIVALENTE A 600MG),mg,600,TABLETA,TABLETA RECUBIERTA,LABORATORIOS BUSSIÉ S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
88,SUMIVULIN ® 600 (500MG/100MG),BLAU FARMACÉUTICA COLOMBIA S.A.S,INVIMA 2016M-0011301-R1,09/09/2010,02/22/2021,Vigente,20014766,5,100,CAJA POR 100 FRASCOS AMPOLLA VIDRIO TIPO I TAPÓN GRIS BROMOBUTILO. CON AGRAFE DE ALUMINIO Y TAPA FLIP -OFF COLOR GRIS .,Activo,04/06/2010,N/A,No,U,J01CR02,AMOXICILINA E INHIBIDOR ENZIMATICO,INTRAVENOSA,A,CLAVULANATO DE POTASIO 119.125 MG EQUIVALENTE A ACIDO CLAVULÁNICO,mg,100,FRASCO AMPOLLA,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,BLAU FARMACEUTICA S.A. FILIAL SAO PAULO,FABRICANTE,IMPORTAR Y VENDER
89,BETARRETIN® H CREMA,SCANDINAVIA PHARMA LTDA.,INVIMA 2015M-0004485-R1,06/07/2005,11/26/2020,Vigente,19953067,5,5,M MED: PLEGADIZA CON UN TUBO COLAPSIBLE DE ALUMINIO (CON RECUBRIMIENTO INTERNO ...) POR 5 G .,Activo,04/12/2011,N/A,Si,g,D11AX11,HIDROQUINONA,TOPICA (EXTERNA),D,ACIDO RETINOICO (TRETINOINA),g,0.05,100 G DE CREMA,CREMA TOPICA,ALTEA FARMACEUTICA S.A.,FABRICANTE,FABRICAR Y VENDER
90,ROGASTRIL® PLUS TABLETAS MASTICABLES,LABORATORIOS SIEGFRIED S.A.S,INVIMA 2018M-0018107,04/05/2018,05/10/2023,Vigente,20108928,1,10,CAJA X 10 TABLETAS MASTICABLES EN 2 BLISTER DE ALU/PVC ACLAR,Activo,11/15/2017,N/A,No,U,A03AX51,SIMETICONA. COMBINACIONES,ORAL,A,SIMETICONA,mg,200,TABLETA MASTICABLE,TABLETA MASTICABLE,ROEMMERS S.A.I.C.F,FABRICANTE,IMPORTAR Y VENDER
91,DOLIVIUM® FORTE,COOPERATIVA NACIONAL DE DROGUISTAS DETALLISTAS - COOPIDROGAS,INVIMA 2015M-0016343,10/05/2015,10/30/2020,Vigente,20075735,1,6,CAJA POR 6 CAPSULAS BLANDAS EN BLISTER DE PVC/PVDC/ALUMINIO POR 6 CAPSULAS BLANDAS CADA UNO.,Activo,01/15/2015,N/A,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,IBUPROFENO,mg,400,CAPSULA,CAPSULA BLANDA,HIGH NUTRITION COMPANY S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER
